year,section,section_label,colour,exports_rm_bil,imports_rm_bil
2014,2,Crude Materials,#F28E2B,17.164,21.992
2014,3,Mineral Fuels & Petroleum,#FFBE7D,168.624,114.876
2014,4,Animal & Vegetable Oils,#59A14F,50.491,4.521
2014,5,Chemicals,#8CD17D,56.575,65.993
2014,6,Manufactured Goods,#B6992D,67.819,87.419
2014,7,Machinery & Transport Equipment,#E15759,296.735,285.548
2014,8,Misc. Manufactured Articles,#FF9D9A,73.717,41.774
2014,9,Other Commodities,#79706E,4.566,14.123
2015,0,Food & Live Animals,#4E79A7,27.37,45.343
2015,1,Beverages & Tobacco,#A0CBE8,4.606,4.548
2015,2,Crude Materials,#F28E2B,21.21,22.488
2015,3,Mineral Fuels & Petroleum,#FFBE7D,125.876,85.148
2015,4,Animal & Vegetable Oils,#59A14F,47.863,6.971
2015,5,Chemicals,#8CD17D,60.674,69.736
2015,6,Manufactured Goods,#B6992D,75.145,89.629
2015,7,Machinery & Transport Equipment,#E15759,326.095,297.067
2015,8,Misc. Manufactured Articles,#FF9D9A,84.485,50.447
2015,9,Other Commodities,#79706E,4.031,14.401
2016,0,Food & Live Animals,#4E79A7,30.218,46.766
2016,1,Beverages & Tobacco,#A0CBE8,4.906,4.534
2016,2,Crude Materials,#F28E2B,22.514,24.882
2016,3,Mineral Fuels & Petroleum,#FFBE7D,111.163,72.184
2016,4,Animal & Vegetable Oils,#59A14F,50.637,5.469
2016,5,Chemicals,#8CD17D,64.669,73.571
2016,6,Manufactured Goods,#B6992D,70.015,87.922
2016,7,Machinery & Transport Equipment,#E15759,338.785,316.348
2016,8,Misc. Manufactured Articles,#FF9D9A,89.029,54.559
2016,9,Other Commodities,#79706E,5.028,12.585
2017,0,Food & Live Animals,#4E79A7,31.842,51.288
2017,1,Beverages & Tobacco,#A0CBE8,4.422,3.686
2017,2,Crude Materials,#F28E2B,28.566,33.687
2017,3,Mineral Fuels & Petroleum,#FFBE7D,144.013,106.808
2017,4,Animal & Vegetable Oils,#59A14F,56.398,6.773
2017,5,Chemicals,#8CD17D,75.088,86.217
2017,6,Manufactured Goods,#B6992D,82.821,98.037
2017,7,Machinery & Transport Equipment,#E15759,398.809,372.858
2017,8,Misc. Manufactured Articles,#FF9D9A,104.646,59.906
2017,9,Other Commodities,#79706E,8.322,17.163
2018,0,Food & Live Animals,#4E79A7,31.575,50.173
2018,1,Beverages & Tobacco,#A0CBE8,3.571,3.818
2018,2,Crude Materials,#F28E2B,25.526,36.59
2018,3,Mineral Fuels & Petroleum,#FFBE7D,157.269,126.5
2018,4,Animal & Vegetable Oils,#59A14F,47.064,6.656
2018,5,Chemicals,#8CD17D,84.859,95.378
2018,6,Manufactured Goods,#B6992D,92.699,103.045
2018,7,Machinery & Transport Equipment,#E15759,440.245,381.572
2018,8,Misc. Manufactured Articles,#FF9D9A,112.084,59.775
2018,9,Other Commodities,#79706E,8.694,16.297
2019,0,Food & Live Animals,#4E79A7,34.094,51.463
2019,1,Beverages & Tobacco,#A0CBE8,3.453,3.727
2019,2,Crude Materials,#F28E2B,27.038,41.778
2019,3,Mineral Fuels & Petroleum,#FFBE7D,143.681,123.544
2019,4,Animal & Vegetable Oils,#59A14F,46.796,6.565
2019,5,Chemicals,#8CD17D,84.957,93.238
2019,6,Manufactured Goods,#B6992D,95.841,99.008
2019,7,Machinery & Transport Equipment,#E15759,433.86,355.963
2019,8,Misc. Manufactured Articles,#FF9D9A,119.268,59.331
2019,9,Other Commodities,#79706E,6.084,14.795
2020,0,Food & Live Animals,#4E79A7,33.78,55.475
2020,1,Beverages & Tobacco,#A0CBE8,2.595,2.627
2020,2,Crude Materials,#F28E2B,24.751,41.112
2020,3,Mineral Fuels & Petroleum,#FFBE7D,112.015,95.149
2020,4,Animal & Vegetable Oils,#59A14F,54.98,8.914
2020,5,Chemicals,#8CD17D,74.96,85.58
2020,6,Manufactured Goods,#B6992D,88.473,91.045
2020,7,Machinery & Transport Equipment,#E15759,444.198,349.648
2020,8,Misc. Manufactured Articles,#FF9D9A,144.65,55.889
2020,9,Other Commodities,#79706E,3.425,15.042
2021,0,Food & Live Animals,#4E79A7,38.695,63.651
2021,1,Beverages & Tobacco,#A0CBE8,2.498,2.63
2021,2,Crude Materials,#F28E2B,28.92,58.733
2021,3,Mineral Fuels & Petroleum,#FFBE7D,154.806,123.645
2021,4,Animal & Vegetable Oils,#59A14F,79.147,14.562
2021,5,Chemicals,#8CD17D,107.516,111.681
2021,6,Manufactured Goods,#B6992D,127.469,106.424
2021,7,Machinery & Transport Equipment,#E15759,521.789,416.772
2021,8,Misc. Manufactured Articles,#FF9D9A,176.055,65.281
2021,9,Other Commodities,#79706E,4.128,23.964
2022,0,Food & Live Animals,#4E79A7,44.61,75.621
2022,1,Beverages & Tobacco,#A0CBE8,2.757,3.645
2022,2,Crude Materials,#F28E2B,31.263,53.209
2022,3,Mineral Fuels & Petroleum,#FFBE7D,264.758,241.668
2022,4,Animal & Vegetable Oils,#59A14F,100.658,18.248
2022,5,Chemicals,#8CD17D,125.677,134.305
2022,6,Manufactured Goods,#B6992D,138.746,126.843
2022,7,Machinery & Transport Equipment,#E15759,672.352,533.778
2022,8,Misc. Manufactured Articles,#FF9D9A,162.735,82.796
2022,9,Other Commodities,#79706E,6.453,23.699
2023,0,Food & Live Animals,#4E79A7,46.462,78.787
2023,1,Beverages & Tobacco,#A0CBE8,3.105,3.616
2023,2,Crude Materials,#F28E2B,29.662,43.711
2023,3,Mineral Fuels & Petroleum,#FFBE7D,236.034,231.552
2023,4,Animal & Vegetable Oils,#59A14F,74.888,11.226
2023,5,Chemicals,#8CD17D,106.155,120.956
2023,6,Manufactured Goods,#B6992D,127.578,125.495
2023,7,Machinery & Transport Equipment,#E15759,650.206,500.555
2023,8,Misc. Manufactured Articles,#FF9D9A,143.781,78.336
2023,9,Other Commodities,#79706E,8.327,16.811
