partner,arc_id,step,lon,lat,trade_type,stroke_width,exports_usd_bn,imports_usd_bn,balance_usd_bn
United States,United States,40,-27.3233,39.4633,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,41,-30.7427,39.6613,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,42,-34.162,39.826,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,43,-37.5813,39.9573,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,44,-41.0007,40.0553,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,45,-44.42,40.12,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,46,-47.8393,40.1513,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,47,-51.2587,40.1493,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,48,-54.678,40.114,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,49,-58.0973,40.0453,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,50,-61.5167,39.9433,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,51,-64.936,39.808,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,52,-68.3553,39.6393,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,53,-71.7747,39.4373,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,54,-75.194,39.202,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,55,-78.6133,38.9333,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,56,-82.0327,38.6313,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,57,-85.452,38.296,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,58,-88.8713,37.9273,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,59,-92.2907,37.5253,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,60,-95.71,37.09,Export-heavy,7.41,35.46,19.53,15.93
"Hong Kong, China","Hong Kong, China",0,109.45,4.21,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",1,109.5277,4.7754,Export-heavy,4.17,19.7,3.34,16.36
